phrase,list
enjoy,Fry (801-900)
entered,Fry (801-900)
except,Fry (801-900)
exciting,Fry (801-900)
expect,Fry (801-900)
famous,Fry (801-900)
fit,Fry (801-900)
flat,Fry (801-900)
fruit,Fry (801-900)
fun,Fry (801-900)
guess,Fry (801-900)
hat,Fry (801-900)
hit,Fry (801-900)
indicate,Fry (801-900)
industry,Fry (801-900)
insects,Fry (801-900)
interesting,Fry (801-900)
Japanese,Fry (801-900)
lie,Fry (801-900)
lifted,Fry (801-900)
loud,Fry (801-900)
major,Fry (801-900)
mall,Fry (801-900)
meat,Fry (801-900)
mine,Fry (801-900)
modern,Fry (801-900)
movement,Fry (801-900)
necessary,Fry (801-900)
observe,Fry (801-900)
park,Fry (801-900)
particular,Fry (801-900)
planets,Fry (801-900)
poem,Fry (801-900)
pole,Fry (801-900)
position,Fry (801-900)
process,Fry (801-900)
property,Fry (801-900)
provide,Fry (801-900)
rather,Fry (801-900)
rhythm,Fry (801-900)
rich,Fry (801-900)
safe,Fry (801-900)
sand,Fry (801-900)
science,Fry (801-900)
sell,Fry (801-900)
send,Fry (801-900)
sense,Fry (801-900)
seven,Fry (801-900)
sharp,Fry (801-900)
shoulder,Fry (801-900)
sight,Fry (801-900)
silent,Fry (801-900)
soldiers,Fry (801-900)
spot,Fry (801-900)
spread,Fry (801-900)
stream,Fry (801-900)
string,Fry (801-900)
suggested,Fry (801-900)
supply,Fry (801-900)
swim,Fry (801-900)
terms,Fry (801-900)
thick,Fry (801-900)
thin,Fry (801-900)
thus,Fry (801-900)
tied,Fry (801-900)
tone,Fry (801-900)
trade,Fry (801-900)
tube,Fry (801-900)
value,Fry (801-900)
wash,Fry (801-900)
wasn’t,Fry (801-900)
weight,Fry (801-900)
wife,Fry (801-900)
wings,Fry (801-900)
won’t,Fry (801-900)
action,Fry (901-1000)
actually,Fry (901-1000)
adjective,Fry (901-1000)
afraid,Fry (901-1000)
agreed,Fry (901-1000)
ahead,Fry (901-1000)
allow,Fry (901-1000)
apple,Fry (901-1000)
arrived,Fry (901-1000)
born,Fry (901-1000)
bought,Fry (901-1000)
British,Fry (901-1000)
capital,Fry (901-1000)
chance,Fry (901-1000)
chart,Fry (901-1000)
church,Fry (901-1000)
column,Fry (901-1000)
company,Fry (901-1000)
conditions,Fry (901-1000)
corn,Fry (901-1000)
cotton,Fry (901-1000)
cows,Fry (901-1000)
create,Fry (901-1000)
dead,Fry (901-1000)
deal,Fry (901-1000)
death,Fry (901-1000)
details,Fry (901-1000)
determine,Fry (901-1000)
difficult,Fry (901-1000)
division,Fry (901-1000)
doesn’t,Fry (901-1000)
effect,Fry (901-1000)
entire,Fry (901-1000)
especially,Fry (901-1000)
evening,Fry (901-1000)
experience,Fry (901-1000)
factories,Fry (901-1000)
fair,Fry (901-1000)
fear,Fry (901-1000)
fig,Fry (901-1000)
forward,Fry (901-1000)
France,Fry (901-1000)
fresh,Fry (901-1000)
Greek,Fry (901-1000)
gun,Fry (901-1000)
hoe,Fry (901-1000)
huge,Fry (901-1000)
isn’t,Fry (901-1000)
led,Fry (901-1000)
level,Fry (901-1000)
located,Fry (901-1000)
march,Fry (901-1000)
match,Fry (901-1000)
molecules,Fry (901-1000)
northern,Fry (901-1000)
nose,Fry (901-1000)
office,Fry (901-1000)
opposite,Fry (901-1000)
oxygen,Fry (901-1000)
plural,Fry (901-1000)
prepared,Fry (901-1000)
pretty,Fry (901-1000)
printed,Fry (901-1000)
